,Character,Count,KoreanFlag
0,룖,54,True
1,윾,34,True
2,뢾,11,True
3,뢿,11,True
4,拗,7,False
5,剡,7,False
6,嘔,5,False
7,‒,5,False
8,줼,4,True
9,귱,3,True
10,袗,3,False
11,跛,2,False
12,읙,2,True
13,튽,2,True
14,콬,2,True
15,졊,2,True
16,箜,2,False
17,篌,2,False
18,셓,2,True
19,끟,2,True
20,쐝,2,True
21,곅,2,True
22,곸,2,True
23,籟,2,False
24,홪,2,True
25,챜,2,True
26,蔯,2,False
27,슮,1,True
28,渣,1,False
29,녰,1,True
30,뱎,1,True
31,젾,1,True
32,젿,1,True
33,됰,1,True
34,迭,1,False
35,콫,1,True
36,弇,1,False
37,괟,1,True
38,캎,1,True
39,냰,1,True
40,揲,1,False
41,녃,1,True
42,볹,1,True
43,핷,1,True
44,麈,1,False
45,洒,1,False
46,뱕,1,True
47,俛,1,False
48,雰,1,False
49,냋,1,True
50,댤,1,True
51,싟,1,True
52,돾,1,True
53,헁,1,True
54,굫,1,True
55,븠,1,True
56,쨕,1,True
57,앢,1,True
58,뚁,1,True
59,땽,1,True
60,賮,1,False
61,쵲,1,True
62,蘗,1,False
63,带,1,False
64,蔔,1,False
65,柾,1,False
66,熄,1,False
67,卩,1,False
68,곚,1,True
69,賰,1,False
70,닶,1,True
71,劄,1,False
72,윝,1,True
73,瓏,1,False
74,鱐,1,False
75,芾,1,False
