,Character,Count,KoreanFlag
0,乙,4896,False
1,丙,1959,False
2,챗,925,True
3,펭,813,True
4,엊,770,True
5,丁,709,False
6,탰,647,True
7,휨,643,True
8,켐,632,True
9,갭,514,True
10,퀀,491,True
11,낵,454,True
12,뎀,434,True
13,쉘,428,True
14,뫼,419,True
15,뗐,416,True
16,펩,388,True
17,횃,385,True
18,틔,376,True
19,얏,374,True
20,셧,371,True
21,핌,362,True
22,홋,360,True
23,팹,357,True
24,옻,357,True
25,믈,356,True
26,퀵,336,True
27,뎠,329,True
28,樂,326,False
29,궜,325,True
30,윷,311,True
31,比,309,False
32,듐,306,True
33,젼,304,True
34,굣,296,True
35,앴,295,True
36,슝,294,True
37,뗀,286,True
38,씰,282,True
39,쥴,275,True
40,쑨,273,True
41,왑,267,True
42,꿎,266,True
43,展,264,False
44,웜,264,True
45,禪,262,False
46,튈,261,True
47,앎,260,True
48,藏,258,False
49,튤,257,True
50,칡,253,True
51,젬,250,True
52,뮴,247,True
53,튠,241,True
54,畵,241,False
55,唐,236,False
56,벵,234,True
57,솎,234,True
58,郡,232,False
59,갉,231,True
60,윅,228,True
61,톳,227,True
62,듦,226,True
63,셌,225,True
64,닻,224,True
65,롄,223,True
66,욘,222,True
67,캅,218,True
68,宋,216,False
69,왱,213,True
70,路,209,False
71,易,208,False
72,夜,208,False
73,李,208,False
74,齋,207,False
75,儒,205,False
76,꼰,204,True
77,윳,203,True
78,쇳,201,True
79,햅,200,True
80,音,200,False
81,괭,197,True
82,洞,196,False
83,훙,196,True
84,像,195,False
85,빕,194,True
86,텄,193,True
87,源,190,False
88,朱,187,False
89,茶,187,False
90,밈,186,True
91,戊,186,False
92,굼,185,True
93,볏,180,True
94,쿱,179,True
95,類,177,False
96,줏,176,True
97,넙,176,True
98,볐,175,True
99,앳,174,True
100,鄕,173,False
101,펍,172,True
102,景,169,False
103,촨,168,True
104,뺌,167,True
105,섶,166,True
106,텼,165,True
107,句,165,False
108,祭,165,False
109,쏭,162,True
110,깰,161,True
111,讀,161,False
112,봬,160,True
113,省,160,False
114,쥘,160,True
115,돛,158,True
116,퀼,157,True
117,멱,156,True
118,뺄,156,True
119,뇽,156,True
120,눗,156,True
121,쉑,156,True
122,쫑,154,True
123,텟,154,True
124,맬,154,True
125,퓸,152,True
126,初,151,False
127,웡,151,True
128,켑,150,True
129,쐈,149,True
130,格,149,False
131,곪,148,True
132,孝,148,False
133,잰,147,True
134,溪,146,False
135,詞,146,False
136,숀,145,True
137,儀,145,False
138,識,145,False
139,湖,145,False
140,忠,142,False
141,敬,140,False
142,筆,140,False
143,띨,139,True
144,쳇,139,True
145,目,139,False
146,諸,138,False
147,題,137,False
148,깼,137,True
149,짰,136,True
150,象,136,False
151,校,136,False
152,話,135,False
153,챕,135,True
154,윔,134,True
155,印,134,False
156,뷸,133,True
157,刊,133,False
158,習,132,False
159,俗,132,False
160,띵,132,True
161,感,131,False
162,遺,131,False
163,變,130,False
164,考,130,False
165,里,130,False
166,핼,129,True
167,寶,127,False
168,精,127,False
169,舊,127,False
170,造,127,False
171,껐,127,True
172,派,126,False
173,옅,126,True
174,號,125,False
175,뼛,125,True
176,僧,125,False
177,麗,125,False
178,헹,125,True
179,쾰,125,True
180,尙,125,False
181,遊,124,False
182,秋,124,False
183,脫,124,False
184,縣,123,False
185,智,123,False
186,紀,123,False
187,松,121,False
188,譜,120,False
189,術,120,False
190,멎,119,True
191,킵,118,True
192,亥,118,False
193,辭,118,False
194,겅,118,True
195,쑈,118,True
196,댑,117,True
197,캇,117,True
